book_rank,title,author,publisher,price,date_added
1,혼모노,성해나저,창비,"16,200",2025-06-21
2,"첫 여름, 완주",김금희저,무제,"15,300",2025-06-21
3,청춘의 독서,유시민저,웅진지식하우스,"17,010",2025-06-21
4,안녕이라 그랬어,김애란저,문학동네,"15,120",2025-06-21
5,단 한 번의 삶,김영하저,복복서가,"15,120",2025-06-21
6,우리의 낙원에서 만나자,하태완저,북로망스,"17,550",2025-06-21
7,소년이 온다,한강저,창비,"13,500",2025-06-21
8,어른의 품격을 채우는 100일 필사 노트,김종원저,청림Life,"18,000",2025-06-21
9,이재명 자서전,"이재명,스토리텔링콘텐츠연구소저",아시아,"15,120",2025-06-21
10,어른의 행복은 조용하다,태수저,페이지2북스,"16,020",2025-06-21
11,모순,양귀자저,쓰다,"11,700",2025-06-21
12,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성저,이투스북,"14,850",2025-06-21
13,작은 땅의 야수들,김주혜저/박소현역,다산책방,"16,200",2025-06-21
14,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성저,이투스북,"14,400",2025-06-21
15,"혹시, 돈 얘기해도 될까요?",주언규저,필름,"17,820",2025-06-21
16,미술관에 간 할미,할미저,더퀘스트,"18,900",2025-06-21
17,마침내 특이점이 시작된다,레이 커즈와일저/이충호역/장대익감수,비즈니스북스,"27,000",2025-06-21
18,위버멘쉬,프리드리히 니체저,떠오름,"16,020",2025-06-21
19,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS저,YBM(와이비엠),"17,820",2025-06-21
20,워런 버핏 웨이,로버트 해그스트롬저/신용우역,상상스퀘어,"29,700",2025-06-21
